name,g1,g2,g3,market_cap,MAU,funding
harmony,L1,POS,,24112878.0,,23000000.0
nearprotocol,L1,POS,,,,
apollocurrency,L1,POS,,,,
ankrnetwork,L1,POW,,,,18700000.0
bitcoin,L1,POW,,182939582765.0,,
ethereum,L1,POW,,19346401246.0,,16000000.0
litecoin,L1,POW,,4510223361.0,,
bitcoincash,L1,POW,,5435373002.0,,
bitcoinsv,L1,POW,,2267482547.0,,
monero,L1,POW,,1252554300.0,,
dash,L1,POW,,760943994.0,,
ethereumclassic,L1,POW,,743476206.0,,
zcash,L1,POW,,335737062.0,,1000000.0
waves,L1,POW,,105474475.0,,16000000.0
dogecoin,L1,POW,,296191167.0,,
bitcoingold,L1,POW,,187025802.0,,
ravencoin,L1,POW,,136668289.0,,
bytom,L1,POW,,117611501.0,,
bitcoindiamond,L1,POW,,114895984.0,,
digibyte,L1,POW,,98004647.0,,
bytecoin,L1,POW,,90175449.0,,
komodo,L1,POW,,80018433.0,,
verge,L1,POW,,72988903.0,,
elastos,L1,POW,,33680060.0,,94070000.0
grin,L1,POW,,40154238.0,,
hypercash,L1,POW,,94264426.0,,
electroneum,L1,POW,,34110413.0,,40000000.0
zcoin,L1,POW,,47444590.0,,
0chain,L1,POW,,1728127.0,,39000000.0
beam,L1,POW,,42867767.0,,25000000.0
smartcash,L1,POW,,7879226.0,,
hdac,L1,POW,,,,20000000.0
kadena,L1,POW,,,,14875000.0
namecoin,L1,POW,,10367885.0,,
neuromation,L1,POW,,,,10800000.0
usechain,L1,POW,,5576926.0,,7370000.0
blockcollider,L1,POW,,,,7010000.0
veriblock,L1,POW,,4904849.0,,7000000.0
litecoincash,L1,POW,,7693446.0,,
litecoincash,L1,POW,,7693446.0,,
ioex,L1,POW,,,,27200000.0
bitcoinprivate,L1,POW,,787464.0,,
litecoincash,L1,POW,,7693446.0,,
litecoincash,L1,POW,,7693446.0,,
callistonetwork,L1,POW,,2108117.0,,
boolberry,L1,POW,,4166221.0,,
aeternity,L1,POW/POS,,69047159.0,,23584319.0
pivx,L1,POW/POS,,18922479.0,,
origonetwork,L1,POW/POS,,,,29860000.0
emercoin,L1,POW/POS,,5187674.0,,
metaverse,L1,POW/POS,,,,
spacemesh,L1,Proof of Space,,,,18000000.0
arweave,L1,Proof of Space,,,,8700000.0
chianetwork,L1,Proof of Space,,,,3395000.0
burstcoin,L1,Proof of Space,,,,
spacemint,L1,Proof of Space,,,,
oasislabs,L1,Tendermint,,,,45000000.0
oneledger,L1,Tendermint,,4965147.0,,15000000.0
bigchaindb,L1,Tendermint,,,,5370000.0
Arwen,Cross Chain,DEX,,,,
Tesseract,Cross Chain,DEX,,,,
Thor,Cross Chain,DEX,,,,
Poet,dApp,Data,,,,
AdEx,dApp,Data,,7739529.0,632,
Streamr,dApp,Data,,,,27000000.0
MediaChain,dApp,Data,,,,
Winding Tree,dApp,Data,,,,14420000.0
TruSet,dApp,Data,,,,
Computable,dApp,Data,,,,
Ocean Protocol,dApp,Data,,6206296.0,,30650000.0
Dbrain,dApp,Data,,,,8200000.0
Thore Coin,dApp,DeFi,Bundling,,,
Set,dApp,DeFi,Bundling,,3,
Basket Protocol,dApp,DeFi,Bundling,,,
BSKT,dApp,DeFi,Bundling,,,
Daxia,dApp,DeFi,Derivatives,,,
UMA,dApp,DeFi,Derivatives,,,
Market,dApp,DeFi,Derivatives,,,
dYdX,dApp,DeFi,Derivatives,,,12000000.0
CDx,dApp,DeFi,Derivatives,,,
bZx,dApp,DeFi,Derivatives,,,
Newdex,dApp,DeFi,DEX,,,3130000.0
MetaMorph,dApp,DeFi,DEX,363633.0,187,
Stox,dApp,DeFi,DEX,762453.0,94,
LatiumX,dApp,DeFi,DEX,186757.0,,
Ink Protocol,dApp,DeFi,DEX,498361.0,234,15000000.0
LendingBlock,dApp,DeFi,DEX,4697505.0,385,10000000.0
Switcheo,dApp,DeFi,DEX,1910220.0,1447,
AirSwap,dApp,DeFi,DEX,4607402.0,1092,33000000.0
Hydro,dApp,DeFi,DEX,7971323.0,,
Bancor,dApp,DeFi,DEX,,2987,153000000.0
Kyber Network,dApp,DeFi,DEX,31392428.0,6584,52000000.0
Loopring,dApp,DeFi,DEX,33729753.0,308,
Digitex Futures,dApp,DeFi,DEX,,844,
0x,dApp,DeFi,DEX,98688695.0,14657,24000000.0
WhaleEx,dApp,DeFi,DEX,,,
minereum,dApp,DeFi,DEX,,120,
Uniswap,dApp,DeFi,DEX,,2343,
The Token Store,dApp,DeFi,DEX,,1409,
Swap Online,dApp,DeFi,DEX,,11,
Republic Protocol,dApp,DeFi,DEX,,1458,34300000.0
OasisDEX,dApp,DeFi,DEX,,627,
TimeX,dApp,DeFi,DEX,,1,
Lescovex DEX,dApp,DeFi,DEX,,133,
ForkDelta,dApp,DeFi,DEX,,8772,
Expo,dApp,DeFi,DEX,,,
SingularX,dApp,DeFi,DEX,,201,
EasyTrade,dApp,DeFi,DEX,,,
DutchX,dApp,DeFi,DEX,,75,
DEXEOS,dApp,DeFi,DEX,,742,
Ethfinex Trustless,dApp,DeFi,DEX,,180,
OmiseGo DEX,dApp,DeFi,DEX,,,
CryptopiaFeeShares,dApp,DeFi,Exchange Token,,,
IDEX,dApp,DeFi,Exchange Token,7520106.0,20722,
LEO Token,dApp,DeFi,Exchange Token,1048824725.0,,
